id,id_num,lines_added_num,lines_deleted_num,time_created,time_updated,subject_length,subject_word_count,num_change_file,num_files_type,num_directory,num_subsystem,is_a_bot,change_num,recent_change_num,review_num,recent_review_num,merged_review_num,recent_merged_review_num,merged_ratio,recent_merged_ratio
I71ddf85daf98720f7c5fd29462d1a2bcb48114d8,109503,3,3,1610950689000,1610950716000,46,6,2,1,1,1,0,1,1,0,0,0,0,0,0
I990ef678f2263031d4a5af8cc547fffe185d17c4,109501,839,352,1610945263000,1610950567000,74,7,10,4,6,1,0,11,11,0,0,0,0,0,0
I2e8c83527775c17f95e5e4afe70577442e14715e,109502,21,11,1610945708000,1610950411000,58,10,1,1,1,1,0,11,11,0,0,0,0,0,0
I0c11d8012d149c6f4ce9a5067a8c368fb794efe1,109498,184,170,1610944097000,1610950287000,65,10,2,2,2,1,0,7,7,0,0,0,0,0,0
Id5a027e060af90e483181439568f17d0172d1b35,109500,563,430,1610944097000,1610950084000,57,9,4,3,3,1,0,7,7,0,0,0,0,0,0
I4ef4bdb43e48f740ee2075627610e13142316434,109490,6,4,1610937515000,1610949680000,66,9,12,2,6,1,0,3,3,0,0,0,0,0,0
Idebb448738f7391d8af84d43778d0fefbf6de56f,109471,190,183,1610908317000,1610949630000,64,9,378,2,20,1,0,3,3,0,0,0,0,0,0
I35b0b32ebc988f80f2f204e5570b74e708b33852,109492,3,3,1610940514000,1610949580000,52,6,6,2,4,1,0,3,3,0,0,0,0,0,0
If21b06c58e8fdcc240a540ee6fa87f48a6eb86af,109496,164,30,1610943408000,1610949521000,54,8,3,3,1,1,0,3,3,0,0,0,0,0,0
Idfb2fd3f7d4f0e7ee8d22e4cb42d8cab043454c2,108339,15,12,1609223645000,1610949267000,48,7,1,1,1,1,0,1,1,0,0,0,0,0,0
I5b3cf516cdfcdaffef7bb1eac20185ba713f33fc,109478,72,58,1610925171000,1610949241000,69,10,6,2,3,1,0,1,1,0,0,0,0,0,0
Ie657fca3d7e221ca6fbce1016589bd86312530fd,109499,581,535,1610944097000,1610948634000,64,7,5,3,3,1,0,7,7,0,0,0,0,0,0
I727b2b5f1035ae70d62d3c5339a814161e3ec92a,109494,1,1,1610942907000,1610948102000,38,4,1,1,1,1,0,11,11,0,0,0,0,0,0
Icbc612b44593c5366f3e7f81112f4013884f3599,108841,66,3,1609943879000,1610947944000,70,10,12,7,8,1,0,1,1,0,0,0,0,0,0
I99877cd62a98cb91bcbf27af62b043c31c5f5fc9,109495,265,293,1610943243000,1610947439000,58,9,8,3,4,1,0,11,11,0,0,0,0,0,0
I779b2644195f3f6cdc00743c7577875e3e198902,109289,19,21,1610695910000,1610947394000,72,12,6,1,4,1,0,4,4,0,0,0,0,0,0
I969bd3b2d030cf117f4c7022716b55152538f846,109497,58,16,1610943408000,1610947104000,62,9,3,2,1,1,0,3,3,0,0,0,0,0,0
I5c6ca3de61fb02787f19cd922f64ed2d059e20b1,109395,21,1,1610795309000,1610946846000,37,6,1,1,1,1,0,1,1,0,0,0,0,0,0
I4a8aa3a6b5e9931ea0b997d611ce54e8481dbbcb,109175,18,8,1610479830000,1610946779000,72,13,1,1,1,1,0,1,1,0,0,0,0,0,0
Id34c8e5e003802635e30a7e038d9f413625f1306,109404,10,10,1610844419000,1610943863000,54,7,1,1,1,1,0,1,1,0,0,0,0,0,0
If454e9ce8462e6b271d2423fe7e8a55788e01fac,109487,29,1698,1610933974000,1610940589000,69,8,382,3,25,1,0,4,4,0,0,0,0,0,0
